Year,GMSL
2004.357924,2.19431
2004.377049,2.18443
2004.396175,2.194596
2004.415301,2.215427
2004.434426,2.269855
2004.453552,2.334281
2004.472678,2.395779
2004.491803,2.458239
2004.510929,2.513166
2004.530055,2.580049
2004.54918,2.67204
2004.568306,2.764629
2004.587432,2.844269
2004.606557,2.92573
2004.625683,3.026733
2004.644809,3.141803
2004.663934,3.262636
2004.68306,3.371958
2004.702186,3.480328
2004.721312,3.560822
2004.740437,3.612144
2004.759563,3.654351
2004.778689,3.676065
2004.797814,3.676607
2004.81694,3.650839
2004.836066,3.620828
2004.855191,3.606432
2004.874317,3.576842
2004.893443,3.535966
2004.912568,3.518574
2004.931694,3.500741
2004.95082,3.477242
2004.969945,3.427271
2004.989071,3.382496
2005.008219,3.317964
2005.027397,3.282201
2005.046575,3.233799
2005.065753,3.162216
2005.084932,3.144705
2005.10411,3.110819
2005.123288,3.096685
2005.142466,3.062309
2005.161644,2.997443
2005.180822,2.942556
2005.2,2.889967
2005.219178,2.853754
2005.238356,2.824311
2005.257534,2.792611
2005.276712,2.74497
2005.29589,2.722815
2005.315069,2.735656
2005.334247,2.762224
2005.353425,2.783596
2005.372603,2.796279
2005.391781,2.810141
2005.410959,2.815459
2005.430137,2.829884
2005.449315,2.851521
2005.468493,2.864341
2005.487671,2.893105
2005.506849,2.941684
2005.526027,2.978274
2005.545206,3.023757
2005.564384,3.080293
2005.583562,3.167792
2005.60274,3.259861
2005.621918,3.359251
2005.641096,3.453502
2005.660274,3.494245
2005.679452,3.58751
2005.69863,3.688448
2005.717808,3.788129
2005.756164,3.935402
2005.775343,3.996259
2005.794521,4.059898
2005.813699,4.124343
2005.832877,4.135475
2005.852055,4.142294
2005.871233,4.143271
2005.890411,4.140346
2005.909589,4.12544
2005.928767,4.095155
2005.947945,4.032507
2005.967123,3.928091
2005.986301,3.814609
2006.00548,3.722315
2006.024658,3.631765
2006.043836,3.531714
2006.063014,3.426301
2006.082192,3.334631
2006.10137,3.256011
2006.120548,3.180161
2006.139726,3.113923
2006.158904,3.056436
2006.178082,2.997278
2006.19726,2.950967
2006.216438,2.929075
2006.235616,2.896846
2006.254795,2.862768
2006.273973,2.836866
2006.293151,2.845526
2006.312329,2.868614
2006.331507,2.890041
2006.350685,2.905775
2006.369863,2.925973
2006.389041,2.94295
2006.408219,2.978794
2006.427397,3.031898
2006.446575,3.078497
2006.465753,3.105785
2006.484932,3.151404
2006.50411,3.206685
2006.523288,3.253812
2006.542466,3.290717
2006.561644,3.325602
2006.580822,3.399355
2006.6,3.47286
2006.619178,3.573726
2006.638356,3.691922
2006.657534,3.797795
2006.676712,3.86792
2006.69589,3.960938
2006.715069,4.078777
2006.734247,4.205558
2006.753425,4.29066
2006.772603,4.335455
2006.791781,4.359813
2006.810959,4.326501
2006.830137,4.270777
2006.887671,4.143601
2006.906849,4.043081
2006.926027,3.93334
2006.945206,3.895108
2006.964384,3.851816
2006.983562,3.791377
2007.00274,3.722082
2007.021918,3.647637
2007.041096,3.558367
2007.060274,3.470578
2007.079452,3.398549
2007.09863,3.352725
2007.117808,3.314502
2007.136986,3.273474
2007.156164,3.232867
2007.175343,3.220381
2007.194521,3.225954
2007.213699,3.247922
2007.232877,3.267903
2007.252055,3.274591
2007.271233,3.244213
2007.290411,3.215082
2007.309589,3.217957
2007.328767,3.21498
2007.347945,3.193586
2007.367123,3.152605
2007.386301,3.103838
2007.40548,3.080763
2007.424658,3.074658
2007.443836,3.07606
2007.463014,3.08783
2007.482192,3.086033
2007.50137,3.100886
2007.520548,3.137627
2007.539726,3.197504
2007.558904,3.27494
2007.578082,3.33304
2007.59726,3.379948
2007.616438,3.443182
2007.635616,3.52238
2007.654795,3.62041
2007.673973,3.711925
2007.693151,3.801768
2007.712329,3.879952
2007.731507,3.939112
2007.750685,4.002234
2007.769863,4.072005
2007.789041,4.153395
2007.808219,4.232501
2007.827397,4.293904
2007.846575,4.331671
2007.865753,4.33588
2007.884932,4.306142
2007.90411,4.264833
2007.923288,4.21587
2007.942466,4.172658
2007.961644,4.11006
2007.980822,4.026071
2008,3.934331
2008.019126,3.843912
2008.038251,3.760776
2008.057377,3.706708
2008.076503,3.652453
2008.095628,3.594844
2008.114754,3.541924
2008.13388,3.509075
2008.153006,3.473338
2008.172131,3.437652
2008.191257,3.400314
2008.210383,3.398039
2008.229508,3.383348
2008.248634,3.381632
2008.26776,3.379913
2008.286885,3.412458
2008.306011,3.425298
2008.325137,3.441118
2008.344262,3.460533
2008.363388,3.481342
2008.382514,3.496091
2008.401639,3.528642
2008.420765,3.568767
2008.439891,3.624005
2008.459016,3.636877
2008.478142,3.65771
2008.497268,3.687602
2008.516393,3.724688
2008.535519,3.788073
2008.554645,3.855689
2008.573771,3.917637
2008.592896,3.995926
2008.612022,4.067053
2008.631148,4.134912
2008.650273,4.200042
2008.669399,4.274222
2008.688525,4.35998
2008.70765,4.431621
2008.726776,4.498472
2008.745902,4.551947
2008.765027,4.592175
2008.784153,4.637931
2008.803279,4.685294
2008.822404,4.737115
2008.84153,4.782222
2008.860656,4.791172
2008.879781,4.779778
2008.898907,4.732536
2008.918033,4.679824
2008.937159,4.674241
2008.956284,4.594738
2008.97541,4.5251
2008.994536,4.430577
2009.013699,4.206764
2009.032877,4.118643
2009.052055,4.04031
2009.071233,3.982124
2009.090411,3.967582
2009.109589,3.939507
2009.128767,3.904635
2009.147945,3.87759
2009.167123,3.86645
2009.186301,3.860186
2009.20548,3.849643
2009.224658,3.856258
2009.243836,3.857149
2009.263014,3.84865
2009.282192,3.832433
2009.30137,3.806402
2009.320548,3.782346
2009.339726,3.765326
2009.358904,3.76651
2009.378082,3.777072
2009.39726,3.795066
2009.416438,3.807391
2009.435616,3.815314
2009.454795,3.830136
2009.473973,3.872358
2009.493151,3.933589
2009.512329,3.98701
2009.531507,4.038483
2009.550685,4.102665
2009.569863,4.178442
2009.589041,4.280789
2009.608219,4.402105
2009.627397,4.537004
2009.646575,4.663628
2009.665753,4.777727
2009.684932,4.900878
2009.70411,5.012288
2009.723288,5.116719
2009.742466,5.20825
2009.761644,5.280514
2009.780822,5.33118
2009.8,5.355907
2009.819178,5.360674
2009.838356,5.364417
2009.857534,5.340109
2009.876712,5.292423
2009.89589,5.251897
2009.915069,5.203031
2009.934247,5.139061
2009.953425,5.061347
2009.972603,4.981778
2009.991781,4.874799
2010.010959,4.752727
2010.030137,4.64503
2010.049315,4.590268
2010.068493,4.544274
2010.087671,4.497268
2010.106849,4.448373
2010.126027,4.402124
2010.145206,4.354847
2010.164384,4.327796
2010.183562,4.318435
2010.20274,4.301014
2010.221918,4.263607
2010.241096,4.200723
2010.260274,4.135002
2010.279452,4.097549
2010.29863,4.094205
2010.317808,4.101511
2010.336986,4.132988
2010.356164,4.160229
2010.375343,4.195626
2010.394521,4.233549
2010.413699,4.277594
